time,temperature
24074,471.15
24088,471.15
24101,472.15
24115,472.15
24129,472.15
24143,473.15
24157,473.15
24171,473.15
24185,474.15
24199,474.15
24212,474.15
24226,474.15
24240,475.15
24254,475.15
24268,475.15
24282,475.15
24296,476.15
24310,476.15
24324,476.15
24337,476.15
24351,477.15
24365,477.15
24379,477.15
24393,477.15
24407,478.15
24421,478.15
24435,478.15
24448,479.15
24462,479.15
24476,479.15
24490,479.15
24504,480.15
24518,480.15
24532,480.15
24546,480.15
24560,481.15
24573,481.15
24587,481.15
24601,481.15
24615,482.15
24629,482.15
24643,482.15
24657,483.15
24671,483.15
24685,483.15
24698,483.15
24712,484.15
24726,484.15
24740,484.15
24754,484.15
24768,485.15
24782,485.15
24796,485.15
24809,486.15
24823,486.15
24837,486.15
24851,486.15
24865,487.15
24879,487.15
24893,487.15
24907,488.15
24921,488.15
24934,488.15
24948,488.15
24962,489.15
24976,489.15
24990,489.15
25004,489.15
25018,490.15
25032,490.15
25045,490.15
25059,490.15
25073,491.15
25087,491.15
25101,491.15
25115,491.15
25129,492.15
25143,492.15
25157,492.15
25170,493.15
25184,493.15
25198,493.15
25212,493.15
25226,494.15
25240,494.15
25254,494.15
25268,494.15
25281,495.15
25295,495.15
25309,495.15
25323,496.15
25337,496.15
25351,496.15
25365,496.15
25379,497.15
25393,497.15
25406,497.15
25420,497.15
25434,498.15
25448,498.15
25462,498.15
25476,498.15
25490,499.15
25504,499.15
25517,499.15
25531,499.15
25545,500.15
25559,500.15
25573,500.15
25587,500.15
25601,501.15
25615,501.15
25629,501.15
25642,502.15
25656,502.15
25670,502.15
25684,502.15
25698,503.15
25712,503.15
25726,503.15
25740,503.15
25754,504.15
25767,504.15
25781,504.15
25795,504.15
25809,505.15
25823,505.15
25837,505.15
25851,506.15
25865,506.15
25878,506.15
25892,506.15
25906,507.15
25920,507.15
25934,507.15
25948,507.15
25962,508.15
25976,508.15
25990,508.15
26003,508.15
26017,509.15
26031,509.15
26045,509.15
26059,510.15
26073,510.15
26087,510.15
26101,510.15
26114,511.15
26128,511.15
26142,511.15
26156,511.15
26170,512.15
26184,512.15
26198,512.15
26212,512.15
26226,513.15
26239,513.15
26253,513.15
26267,514.15
26281,514.15
26295,514.15
26309,514.15
26323,515.15
26337,515.15
26350,515.15
26364,515.15
26378,516.15
26392,516.15
26406,516.15
26420,517.15
26434,517.15
26448,517.15
26462,517.15
26475,518.15
26489,518.15
26503,518.15
26517,518.15
26531,519.15
26545,519.15
26559,519.15
26573,520.15
26586,520.15
26600,520.15
26614,520.15
26628,521.15
26642,521.15
26656,521.15
26670,521.15
26684,522.15
26698,522.15
26711,522.15
26725,522.15
26739,523.15
26753,523.15
26767,523.15
26781,524.15
26795,524.15
26809,524.15
26823,524.15
26836,525.15
26850,525.15
26864,525.15
26878,526.15
26892,526.15
26906,526.15
26920,526.15
26934,527.15
26947,527.15
26961,527.15
26975,527.15
26989,528.15
27003,528.15
27017,528.15
27031,529.15
27045,529.15
27059,529.15
27072,529.15
27086,530.15
27100,530.15
27114,530.15
27128,531.15
27142,531.15
27156,531.15
27170,531.15
27183,532.15
27197,532.15
27211,532.15
27225,532.15
27239,533.15
27253,533.15
27267,533.15
27281,533.15
27295,534.15
27308,534.15
27322,534.15
27336,535.15
27350,535.15
27364,535.15
27378,535.15
27392,536.15
27406,536.15
27419,536.15
27433,537.15
27447,537.15
27461,537.15
27475,537.15
27489,538.15
27503,538.15
27517,538.15
27531,539.15
